timestamp,book_d_v1,book_d_v2,book_imbalance_v1,book_imbalance_v2,mid_price,mean_price
12:28.2,3.5582188999999973,138370582.65172,0.19881538597491713,0.19855319648295258,38641500.0,38791233.333333336
12:28.3,0.0468974400000004,2469081.7012600303,0.0036416652812182597,0.004975168560188651,38503000.0,38519666.666666664
12:28.5,-0.21709475000000067,-7906559.068080008,-0.03419546813654524,-0.032337737092249304,38552000.0,38549200.0
12:28.6,2.75378377,107786190.09157999,0.8017275592642918,0.8018384903205454,39123500.0,39126300.0
12:28.7,0.8062081299999999,31058621.53169,0.16092048888844152,0.1611812440485997,38460000.0,38460500.0
12:28.8,6.410748170000001,249321937.11927003,0.7774361309038254,0.7775413746899156,38885000.0,38881600.0
12:28.9,1.9096957200000002,74565044.55489,0.5082623246930195,0.5083877002885054,39029500.0,39030100.0
12:29.0,4.05298158,156721217.97062004,0.36257167617484864,0.3612612496762804,38802000.0,38897600.0
12:29.1,-0.9573617000000001,-36934849.24373,-0.317194166139844,-0.31698983901550953,38608000.0,38609400.0
12:29.2,0.755663929999999,28270527.891600013,0.029864693482386365,0.028702778331965415,38646000.0,38808960.0
12:29.3,-0.9584533500000001,-36126318.820519984,-0.06521044649971092,-0.06378955081461948,38503000.0,38518800.0
12:29.5,2.008714989999999,77616650.44458999,0.48814137934698915,0.4891510413144155,38552000.0,38549900.0
12:29.6,2.64532772,103542747.42413,0.7952628743602204,0.7953790911007165,39123500.0,39126300.0
12:29.7,0.8062081299999999,31058621.53169,0.16092048888844152,0.1611812440485997,38460000.0,38460500.0
12:29.9,7.61949092,296647012.61538005,0.6975117536843741,0.6975148183159623,38951000.0,38953600.0
12:30.0,0.8613710700000001,33816212.81699003,0.1503252435316269,0.1508774308740178,39110500.0,39113250.0
12:30.1,2.2362488099999998,86048301.90990001,0.26406361057885164,0.2637236420480577,38528000.0,38537850.0
12:30.2,-3.4334651,-134168450.69153,-0.6729881361540635,-0.6727694334619,39087500.0,39099900.0
12:30.3,4.3874392199999965,170153324.79402983,0.21934425474980537,0.21876539528160652,38645500.0,38736050.0
12:30.4,0.7928166700000006,31043042.317279994,0.06626883344489486,0.06730556117430399,38503500.0,38520333.333333336
12:30.5,-1.7746071600000002,-68150556.83737002,-0.37385066663839805,-0.373606264857796,38430000.0,38432800.0
12:30.6,1.7134338299999998,66250850.95556001,0.7796551206743197,0.7796806369451621,38663500.0,38662500.0
12:30.7,2.6082017399999997,102091205.15418999,0.7806174591990723,0.7807420675766964,39123500.0,39126700.0
12:30.8,0.8062081299999999,31058621.53169,0.16092048888844152,0.1611812440485997,38460000.0,38460500.0
12:30.9,9.8803231,384544636.1773,0.747786783576007,0.7477195645222694,38958000.0,38954400.0
